weekday,holiday,holiday_name,total,timestamp,item_id
Friday,1,New Year's Day,296.0,1/1/2016,Restaurant_Visitors
Saturday,0,na,191.0,1/2/2016,Restaurant_Visitors
Sunday,0,na,202.0,1/3/2016,Restaurant_Visitors
Monday,0,na,105.0,1/4/2016,Restaurant_Visitors
Tuesday,0,na,98.0,1/5/2016,Restaurant_Visitors
Wednesday,0,na,83.0,1/6/2016,Restaurant_Visitors
Thursday,0,na,69.0,1/7/2016,Restaurant_Visitors
Friday,0,na,149.0,1/8/2016,Restaurant_Visitors
Saturday,0,na,234.0,1/9/2016,Restaurant_Visitors
Sunday,0,na,212.0,1/10/2016,Restaurant_Visitors
Monday,0,na,101.0,1/11/2016,Restaurant_Visitors
Tuesday,0,na,57.0,1/12/2016,Restaurant_Visitors
Wednesday,0,na,65.0,1/13/2016,Restaurant_Visitors
Thursday,0,na,106.0,1/14/2016,Restaurant_Visitors
Friday,0,na,95.0,1/15/2016,Restaurant_Visitors
Saturday,0,na,237.0,1/16/2016,Restaurant_Visitors
Sunday,0,na,197.0,1/17/2016,Restaurant_Visitors
Monday,1,Martin Luther King Day,132.0,1/18/2016,Restaurant_Visitors
Tuesday,0,na,100.0,1/19/2016,Restaurant_Visitors
Wednesday,0,na,107.0,1/20/2016,Restaurant_Visitors
Thursday,0,na,106.0,1/21/2016,Restaurant_Visitors
Friday,0,na,161.0,1/22/2016,Restaurant_Visitors
Saturday,0,na,188.0,1/23/2016,Restaurant_Visitors
Sunday,0,na,205.0,1/24/2016,Restaurant_Visitors
Monday,0,na,95.0,1/25/2016,Restaurant_Visitors
Tuesday,0,na,76.0,1/26/2016,Restaurant_Visitors
Wednesday,0,na,105.0,1/27/2016,Restaurant_Visitors
Thursday,0,na,95.0,1/28/2016,Restaurant_Visitors
Friday,0,na,150.0,1/29/2016,Restaurant_Visitors
Saturday,0,na,225.0,1/30/2016,Restaurant_Visitors
Sunday,0,na,204.0,1/31/2016,Restaurant_Visitors
Monday,0,na,94.0,2/1/2016,Restaurant_Visitors
Tuesday,1,Groundhog Day,100.0,2/2/2016,Restaurant_Visitors
Wednesday,0,na,72.0,2/3/2016,Restaurant_Visitors
Thursday,0,na,97.0,2/4/2016,Restaurant_Visitors
Friday,0,na,147.0,2/5/2016,Restaurant_Visitors
Saturday,0,na,254.0,2/6/2016,Restaurant_Visitors
Sunday,0,na,177.0,2/7/2016,Restaurant_Visitors
Monday,0,na,68.0,2/8/2016,Restaurant_Visitors
Tuesday,0,na,133.0,2/9/2016,Restaurant_Visitors
Wednesday,0,na,107.0,2/10/2016,Restaurant_Visitors
Thursday,0,na,176.0,2/11/2016,Restaurant_Visitors
Friday,0,na,139.0,2/12/2016,Restaurant_Visitors
Saturday,0,na,227.0,2/13/2016,Restaurant_Visitors
Sunday,1,Valentine's Day,230.0,2/14/2016,Restaurant_Visitors
Monday,1,Presidents Day,112.0,2/15/2016,Restaurant_Visitors
Tuesday,0,na,91.0,2/16/2016,Restaurant_Visitors
Wednesday,0,na,112.0,2/17/2016,Restaurant_Visitors
Thursday,0,na,118.0,2/18/2016,Restaurant_Visitors
Friday,0,na,167.0,2/19/2016,Restaurant_Visitors
Saturday,0,na,213.0,2/20/2016,Restaurant_Visitors
Sunday,0,na,147.0,2/21/2016,Restaurant_Visitors
Monday,0,na,70.0,2/22/2016,Restaurant_Visitors
Tuesday,0,na,106.0,2/23/2016,Restaurant_Visitors
Wednesday,0,na,95.0,2/24/2016,Restaurant_Visitors
Thursday,0,na,130.0,2/25/2016,Restaurant_Visitors
Friday,0,na,182.0,2/26/2016,Restaurant_Visitors
Saturday,0,na,298.0,2/27/2016,Restaurant_Visitors
Sunday,0,na,196.0,2/28/2016,Restaurant_Visitors
Monday,0,na,113.0,2/29/2016,Restaurant_Visitors
Tuesday,0,na,97.0,3/1/2016,Restaurant_Visitors
Wednesday,0,na,68.0,3/2/2016,Restaurant_Visitors
Thursday,0,na,88.0,3/3/2016,Restaurant_Visitors
Friday,0,na,135.0,3/4/2016,Restaurant_Visitors
Saturday,0,na,254.0,3/5/2016,Restaurant_Visitors
Sunday,0,na,192.0,3/6/2016,Restaurant_Visitors
Monday,0,na,63.0,3/7/2016,Restaurant_Visitors
Tuesday,0,na,152.0,3/8/2016,Restaurant_Visitors
Wednesday,0,na,56.0,3/9/2016,Restaurant_Visitors
Thursday,0,na,102.0,3/10/2016,Restaurant_Visitors
Friday,0,na,118.0,3/11/2016,Restaurant_Visitors
Saturday,0,na,276.0,3/12/2016,Restaurant_Visitors
