Type,Name,Age,Breed1,Breed2,Gender,Color1,Color2,Color3,MaturitySize,FurLength,Vaccinated,Dewormed,Sterilized,Health,Quantity,Fee,State,RescuerID,VideoAmt,Description,PetID,PhotoAmt,AdoptionSpeed,Images
2,Yumi Hamasaki,4,292,265,2,1,5,7,2,2,1,3,2,1,1,0,41326,bcc4e1b9557a8b3aaf545ea8e6e86991,0,"I rescued Yumi Hamasaki at a food stall far away in Kelantan. At that time i was on my way back to KL, she was suffer from stomach problem and looking very2 sick.. I send her to vet & get the treatment + vaccinated and right now she's very2 healthy.. About yumi : - love to sleep with ppl - she will keep on meowing if she's hugry - very2 active, always seeking for people to accompany her playing - well trained (poo+pee in her own potty) - easy to bathing - I only feed her with these brands : IAMS, Kittenbites, Pro-formance Reason why i need someone to adopt Yumi: I just married and need to move to a new house where no pets are allowed :( As Yumi is very2 special to me, i will only give her to ppl that i think could take care of her just like i did (especially on her foods things)..",7d7a39d71,3.0,0,images/7d7a39d71-1.jpg
2,Nene/ Kimie,12,285,0,2,5,6,7,2,3,2,2,2,1,1,0,41326,f0450bf0efe0fa3ff9321d0b827b1237,0,Has adopted by a friend with new pet name Kimie,0e107c82f,3.0,0,images/0e107c82f-1.jpg
2,Mattie,12,266,0,2,1,7,0,2,1,1,1,1,1,1,0,41401,9b52af6d48a4521fd01d4028eb5879a3,0,"I rescued Mattie with a broken leg. After surgery with pin inserted in her leg, she's made a full recovery.",1a8fd6707,5.0,0,images/1a8fd6707-1.jpg
1,,1,189,307,2,1,2,0,2,1,1,1,2,1,1,0,41401,88da1210e021a5cf43480b074778f3bc,0,She born on 30 September . I really hope the animal lovers can adopt her.,bca8b44ae,3.0,0,images/bca8b44ae-1.jpg
2,Coco,6,276,285,2,2,4,7,2,2,1,1,2,1,1,100,41326,227d7b1bcfaffb5f9882bf57b5ee8fab,0,Calico Tame and easy going Diet RC Kitten Supplement - brewer yeast + VCO *11.7.17 - Coco had found her new home.,2def67952,1.0,0,images/2def67952-1.jpg
2,KyKy,6,266,299,2,6,7,0,1,1,2,2,1,1,1,0,41326,a70b02201c3b688f664fec4507aabe8c,0,Adopted at April/,9f3fe015b,1.0,0,images/9f3fe015b-1.jpg
2,Three Little Kittens - Tabby,3,266,299,2,2,6,0,2,1,2,2,2,1,1,0,41326,2922723f8889855551615e8d22f1e0b4,0,"A mama cat (stray) recently gave birth to three cute little kittens in my office factory. Would love for the three little kittens to have a good home instead of roaming around this factory area (dangerous as there are many heavy vehicles and a lot of traffic). There are two mixed colours (grey and white) - one male, one female, and one tabby - female. [Edit: Two of the white ones have been adopted (yay!) - only the female tabby left (dark brown).] There are no adoption fees but the adopter must agree to the following conditions: 1. Spay/neuter the cat once it is old enough. 2. Vaccinate the cat(s) yearly. 3. Strongly encouraged to apply spot-on (deflea) medication once in a while to protect the cat (and also yourself) against parasites. If you are interested please send me a text/call/email and explain a little bit about your previous experience (even if none) with cats.",cb568959e,9.0,0,images/cb568959e-1.jpg
2,Jerri,2,265,0,1,1,0,0,2,2,2,2,3,1,1,0,41326,73843de5a69aabadad9e370c30a1285b,0,Hi. This black brownish cat I found nearby kg Sg Penchala in the middle of road barrier at traffic light. I have give food and bath him. Hope to find a home for this kitten. At the moment his eating a kitten solid food. Urgently need New home. Because I have my own kitten that need my attention. Thanks.,f03979157,1.0,0,images/f03979157-1.jpg
2,Ovaltine,2,265,0,2,2,0,0,3,2,2,1,3,1,1,0,41326,167119eeb94dec6c615c602952c527c8,0,Ovaltine kisahnya sama saja dengan VICO kerana mereka adik beradik. Kelakuan Ovaltine ni kalau tak silap saya kuat tido. Dia juga bole tido sambil berdiri. Susah saya nak bezakan kerana kesemuanya sama saja color. Harap sudi sudikan lah ambil Ovaltine yang comel ni buat teman di rumah.,2b2ec33ac,2.0,0,images/2b2ec33ac-1.jpg
1,Milo,10,190,307,1,2,7,0,2,2,1,1,2,1,1,0,41326,784ba9fc1ae715bef89aae886105711d,0,"Milo is a male, St. Bernard mixed. We're looking for someone who can provide him mental stimulation and enough space to run around in as he really needs it. We're unable to care for him anymore as we're currently dealing with family issue. Milo is a very energetic dog. He likes to play tug-of-war and will fetch you his toys to play with. He likes to play hide and seek too.",03f217352,4.0,0,images/03f217352-1.jpg
